,UNITID,OPEID,OPEID6,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,PCIP51,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_2MOR,UGDS_UNKN,UG_WHITENH,UG_BLACKNH,UG_HISPOLD,PPTUG_EF,CURROPER,NPT4_PRIV,NPT41_PRIV,NPT4_048_PRIV,NPT4_3075_PRIV,NUM4_PRIV,NUM41_PRIV,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_L4,C150_L4_POOLED,POOLYRS,D150_L4,D150_L4_POOLED,POOLYRS200,PCTFLOAN,UG25ABV,CDR2,CDR3,D100_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM
6205,455585,464607,4646,2.0,0,9,2,3,3,27,4,41.0,46.848594,-96.72303000000001,29.0,7.0,6.0,-2.0,0.6346,133.0,,0.8571,0.015,0.0451,0.0,0.0075,0.0075,0.0602,,,,0.2481,1,20884.0,18589.0,19777.0,21859.0,23.0,9.0,26555.0,14040.0,14040.0,18860.0,5340.0,2644.0,0.1923,0.4615,,,4.0,,,,0.6868,0.3956,0.067,0.16399999999999998,,,1,0.2481,0.7519,3606.0,3836.0
6206,455600,4051323,40513,2.0,0,33,2,3,3,16,7,12.0,43.590789,-116.295147,23.0,11.0,6.0,-2.0,0.5674,356.0,,0.8343,0.0365,0.0983,0.0084,0.0112,0.0,0.0084,,,,0.0,1,19600.0,19402.0,19176.0,18636.0,60.0,46.0,24279.0,12483.0,12483.0,9388.0,3763.0,7083.0,0.025,0.8295,,,2.0,,,,0.7354,0.6387,0.18100000000000002,0.18100000000000002,,,1,0.2753,0.7247,25369.0,19328.0
6207,455619,4051324,40513,2.0,0,33,2,3,3,40,6,11.0,36.096940000000004,-95.853318,14.0,11.0,6.0,-2.0,0.6591,543.0,,0.5599,0.2689,0.0516,0.0166,0.0976,0.0,0.0055,,,,0.0,1,19106.0,18646.0,18680.0,20345.0,70.0,55.0,23704.0,12123.0,12123.0,11683.0,4267.0,5554.0,0.1864,0.8079,,,4.0,,,,0.7632,0.6656,0.18100000000000002,0.18100000000000002,,,1,0.2173,0.7827,25369.0,19328.0
6208,455628,3010803,30108,1.0,0,3,1,2,3,1,5,12.0,33.442834999999995,-86.862473,10.0,4.0,2.0,-2.0,0.7255,592.0,,0.1216,0.8463,0.0118,0.0068,0.0051,0.0,0.0068,,,,0.0,1,23141.0,22820.0,23018.0,25242.0,68.0,59.0,28560.0,14029.0,14029.0,8834.0,3871.0,4499.0,0.3878,0.8467,0.4769,0.50622875,2.0,411.0,1280.0,2.0,0.6456,0.5823,0.095,0.128,411.0,411.0,2,0.2635,0.7365,2447.0,1988.0
6209,455655,2614205,26142,1.0,0,8,1,2,3,37,5,13.0,35.604669,-77.406368,10.0,3.0,1.0,-2.0,0.6902,353.0,,0.1756,0.7507,0.0482,0.0,0.0057,0.0085,0.0113,,,,0.2635,1,20385.0,20385.0,20385.0,,115.0,115.0,24750.0,10748.0,10748.0,12577.0,4878.0,4128.0,0.2759,0.897,0.4103,0.39415058823529,2.0,117.0,170.0,2.0,0.8595,0.6726,0.127,0.185,117.0,117.0,2,0.1331,0.8669,3972.0,3207.0
6210,455664,2155300,21553,3.0,1,5,1,4,2,6,8,11.0,34.047983,-118.257204,26.0,0.0,6.0,-2.0,0.0,16.0,,0.5,0.1875,0.1875,0.0,0.0,0.0,0.125,,,,1.0,1,,,,,,,,,,37098.0,10486.0,6643.0,0.7813,,,,,,,,,,,0.036000000000000004,,,1,0.125,0.875,1297.0,
6211,455673,2180204,21802,1.0,0,4,1,2,3,29,4,21.0,38.44784,-90.366871,10.0,3.0,1.0,,0.8298,18.0,,0.8889,0.0556,0.0556,0.0,0.0,0.0,0.0,,,,0.1667,0,9873.0,,9873.0,9873.0,2.0,0.0,15168.0,10325.0,10325.0,6205.0,4182.0,2300.0,,0.9,0.8,0.75000972222222,4.0,5.0,72.0,2.0,0.98,0.46,0.153,0.22899999999999998,5.0,5.0,2,0.1667,0.8333,483.0,463.0
6212,455682,2155304,21553,3.0,0,5,4,4,2,6,8,11.0,34.059306,-118.446059,26.0,0.0,18.0,,,,,,,,,,,,,,,,0,,,,,,,,,,37721.0,10662.0,6183.0,,,,,,,,,,,0.031,0.036000000000000004,,,1,,,1297.0,1143.0
6213,455707,4066300,40663,1.0,1,1,1,1,3,1,5,12.0,30.650159999999996,-88.11222099999999,-2.0,-2.0,-2.0,-2.0,1.0,44.0,,0.7955,0.1364,0.0227,0.0455,0.0,0.0,0.0,,,,0.0,1,,,,,,,,,,9259.0,2488.0,,,0.6829,,,,,,,1.0,0.5789,0.09,0.03,,,2,0.1364,0.8636,33.0,33.0
6214,455716,3010618,30106,2.0,0,33,1,2,3,12,5,11.0,30.291629999999998,-81.603291,10.0,3.0,2.0,-2.0,0.4968,687.0,,0.24600000000000002,0.6143,0.0917,0.0146,0.0,0.0116,0.0204,,,,0.2838,1,16340.0,16097.0,16128.0,17096.0,106.0,88.0,21591.0,13932.0,13932.0,15110.0,3961.0,3982.0,,0.8242,0.5926,0.70894253731343,2.0,27.0,134.0,2.0,0.7598,0.69,0.172,0.16,27.0,27.0,2,0.2926,0.7074,14780.0,14256.0
